Wetenschappelijke naam,NL naam,Trofieniveau,M14,M21
Baldellia ranunculoides ssp. ranunculoides,Stijve moerasweegbree,oligotroof,,
Baldellia ranunculoides ssp. repens,Kruipende moerasweegbree,oligotroof,,
Callitriche brutia,Haaksterrenkroos,oligotroof,,
Crassula helmsii,Watercrassula,oligotroof,,
Elatine hexandra,Gesteeld glaskroos,oligotroof,,
Eleocharis acicularis,Naaldwaterbies,oligotroof,,
Eleogiton fluitans,Vlottende bies,oligotroof,,
Helosciadium inundatum,Ondergedoken moerasscherm,oligotroof,,
Hypericum elodes,Moerashertshooi,oligotroof,,
Isoetes echinospora,Kleine biesvaren,oligotroof,,
Isoetes lacustris,Grote biesvaren,oligotroof,,
Juncus bulbosus,Knolrus,oligotroof,,
Littorella uniflora,Oeverkruid,oligotroof,,
Lobelia dortmanna,Waterlobelia,oligotroof,,
Luronium natans,Drijvende waterweegbree,oligotroof,,
Lythrum portula,Waterpostelein,oligotroof,,
Myriophyllum alterniflorum,Teer vederkruid,oligotroof,,
Nitella flexilis,Buigzaam glanswier,oligotroof,,
Nitella translucens,Doorschijnend glanswier,oligotroof,,
Nymphaea candida,Noordelijke waterlelie,oligotroof,,
Pilularia globulifera,Pilvaren,oligotroof,,
Potamogeton gramineus,Ongelijkbladig fonteinkruid,oligotroof,,
Potamogeton polygonifolius,Duizendknoopfonteinkruid,oligotroof,,
Ranunculus hederaceus,Klimopwaterranonkel,oligotroof,,
Ranunculus ololeucos,Witte waterranonkel,oligotroof,,
Sparganium angustifolium,Drijvende egelskop,oligotroof,,
Sparganium natans,Kleinste egelskop,oligotroof,,
Sphagnum cuspidatum,Waterveenmos,oligotroof,,
Sphagnum denticulatum,Geoord veenmos,oligotroof,,
Utricularia australis,Loos blaasjeskruid,oligotroof,,
Utricularia intermedia,Plat blaasjeskruid,oligotroof,,
Utricularia minor,Klein blaasjeskruid,oligotroof,,
Ranunculus peltatus,Grote waterranonkel,mesotroof,,
Chara virgata,Teer kransblad,mesotroof,1,1
Potamogeton berchtoldii,Klein fonteinkruid,mesotroof,2,2
Nitella hyalina,Klein glanswier,mesotroof,1,1
Nitellopsis obtusa,Sterkranswier,mesotroof,1,1
Potamogeton obtusifolius,Stomp fonteinkruid,mesotroof,2,2
Potamogeton acutifolius,Spits fonteinkruid,mesotroof,,
Chara aspera,Ruw kransblad,mesotroof,1,1
Potamogeton alpinus,Rossig fonteinkruid,mesotroof,,
Alisma gramineum,Smalle waterweegbree,mesotroof,,
Chara contraria,Brokkelig kransblad,mesotroof,1,1
Potamogeton compressus,Plat fonteinkruid,mesotroof,2,2
Stratiotes aloides,Krabbenscheer,mesotroof,3,
Chara hispida,Stekelharig kransblad,mesotroof,1,1
Myriophyllum verticillatum,Kransvederkruid,mesotroof,,
Potamogeton coloratus,Weegbreefonteinkruid,mesotroof,,
Ricciocarpos natans,Kroosmos,mesotroof,,
Utricularia vulgaris,Groot blaasjeskruid,mesotroof,3,
Groenlandia densa,Paarbladig fonteinkruid,mesotroof,,
Sparganium emersum,Kleine egelskop,mesotroof,,
Nymphaea alba,Witte waterlelie,eutroof,3,3
Hottonia palustris,Waterviolier,mesotroof,2,
Fontinalis antipyretica,Gewoon bronmos,eutroof,2,2
Chara globularis,Breekbaar kransblad,eutroof,1,1
Riccia fluitans,Gewoon watervorkje,eutroof,3,3
Potamogeton friesii,Puntig fonteinkruid,eutroof,,
Nitella mucronata,Puntdragend glanswier,eutroof,1,1
Sagittaria sagittifolia,Pijlkruid,eutroof,,
Potamogeton perfoliatus,Doorgroeid fonteinkruid,eutroof,3,3
Ranunculus fluitans,Vlottende waterranonkel,eutroof,,
Chara vulgaris,Gewoon kransblad,eutroof,1,1
Ranunculus aquatilis,Middelste waterranonkel,eutroof,2,2
Ranunculus circinatus,Stijve waterranonkel,eutroof,2,2
Potamogeton lucens,Glanzig fonteinkruid,eutroof,3,3
Ranunculus trichophyllus,Kleine waterranonkel,eutroof,,
Nitella capillaris,Kleinhoofdig glanswier,eutroof,,
Potamogeton natans,Drijvend fonteinkruid,eutroof,4,3
Persicaria amphibia,Veenwortel,eutroof,3,3
Hydrocharis morsus-ranae,Kikkerbeet,eutroof,4,5
Elodea canadensis,Brede waterpest,eutroof,2,2
Potamogeton trichoides,Haarfonteinkruid,eutroof,4,4
Lemna trisulca,Puntkroos,eutroof,3,3
Myriophyllum aquaticum,Parelvederkruid,sterk eutroof,,
Cabomba caroliniana,Waterwaaier,sterk eutroof,,
Cladophora,draadalg,sterk eutroof,,
Myriophyllum heterophyllum,Ongelijkbladig vederkruid,sterk eutroof,,
Zannichellia palustris ssp. palustris,Zittende zannichellia,sterk eutroof,4,4
Hydrocotyle ranunculoides,Grote Waternavel,sterk eutroof,,
Nymphoides peltata,Watergentiaan,sterk eutroof,2,
Ludwigia grandiflora,Waterteunisbloem,sterk eutroof,,
Callitriche stagnalis,Gevleugeld sterrenkroos,sterk eutroof,,
Potamogeton crispus,Gekroesd fonteinkruid,sterk eutroof,4,3
Potamogeton nodosus,Rivierfonteinkruid,sterk eutroof,,
Stuckenia pectinata,Schedefonteinkruid,sterk eutroof,,
Hippuris vulgaris,Lidsteng,sterk eutroof,,
Enteromorpha,Darmwier,sterk eutroof,,
Elodea nuttallii,Smalle waterpest,sterk eutroof,4,4
Potamogeton pusillus,Tenger fonteinkruid,sterk eutroof,4,4
Myriophyllum spicatum,Aarvederkruid,sterk eutroof,3,3
Nuphar lutea,Gele plomp,sterk eutroof,4,4
Callitriche platycarpa,Gewoon sterrenkroos,sterk eutroof,3,3
Callitriche obtusangula,Stomphoekig sterrenkroos,sterk eutroof,3,3
Ceratophyllum demersum,Grof hoornblad,sterk eutroof,5,5
Lemna minuta,Dwergkroos,kroos,,
Lemna turionifera,Knopkroos,kroos,,
Azolla filiculoides,Grote kroosvaren,kroos,,
Lemna gibba,Bultkroos,kroos,5,5
Wolffia arrhiza,Wortelloos kroos,kroos,,
Lemna minor,Klein kroos,kroos,5,5
Spirodela polyrhiza,Veelwortelig kroos,kroos,5,5
Chara connivens,Gebogen kransblad,brak,1,1
Najas marina,Groot nimfkruid,brak,2,2
Chara canescens,Brakwater kransblad,brak,1,1
Ceratophyllum submersum,Fijn hoornblad,brak,,
Ranunculus baudotii,Zilte waterranonkel,brak,,
Ruppia cirrhosa,Spiraalruppia,brak,,
Zannichellia palustris ssp. pedicellata,Gesteelde zannichellia,brak,4,4
Ruppia maritima,Snavelruppia,brak,,
Ulva,Zeesla spec.,marien,,
Zostera noltei,Klein zeegras,marien,,
Zostera marina,Groot zeegras,marien,,
Chara,Kransblad,,1,1
Chara aculeolata,Fijnstekelig kransblad ,,1,1
Chara aspera var. aspera,Ruw kransblad,,1,1
Chara baltica,Kust kransblad,,1,1
Chara contraria var. contraria,Brokkelig kransblad,,1,1
Chara contraria var. hispidula,Brokkelig kransblad,,1,1
Chara globularis var. globularis,Breekbaar kransblad,,1,1
Chara gymnophylla,,,1,1
Chara hispida var. hispida,,,1,1
Chara intermedia,Grijs kransblad ,,1,1
Chara pedunculata,Harig kransblad ,,1,1
Chara vulgaris var. longibracteata,,,1,1
Chara vulgaris var. papillata,Stekelig gewoon kransblad ,,1,1
Chara vulgaris var. vulgaris,,,1,1
Myriophyllum verticillatum,Kransvederkruid ,,2,2
Nitella mucronata var. gracillima,,,1,1
Nitella mucronata var. mucronata,,,1,1
Nitella opaca,Donker glanswier ,,1,1
Nymphaea alba ssp. candida,,,3,3
Potamogeton mucronatus,Puntig fonteinkruid ,,2,2
Potamogeton pectinatus,Schedefonteinkruid ,,5,4
Potamogeton praelongus,Langstengelig fonteinkruid ,,2,2
Potamogeton x angustifolius,Gegolfd fonteinkruid ,,2,2
Ranunculus aquatilis var. aquatilis,,,2,2
Ranunculus aquatilis var. diffusus,,,2,2
Schoenoplectus lacustris,Mattenbies,,3,3
